company_code,company_name
0316397577-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI TRANG TRÍ NỘI THẤT AN HUY
0314695585-001,CHI NHÁNH CÔNG TY TNHH THỰC PHẨM NHẬT KIM THÀNH
0316061383-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU PHÁT MINH
0101833939-004,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ XÂY DỰNG THỊNH PHÁT
0102885150-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ TRUYỀN THÔNG BIHACO TẠI HỒ CHÍ MINH
0104764641-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN KINH DOANH XUẤT NHẬP KHẨU GIA ÂN
0312215804-001,CHI NHÁNH CÔNG TY TNHH IN ẤN MAY MẶC PHAN TRẦN
0312746717-002,VĂN PHÒNG ĐẠI DIỆN THÀNH PHỐ HỒ CHÍ MINH CÔNG TY TNHH NĂNG LƯỢNG MÔI TRƯỜNG BIỂN ĐÔNG
0313155266-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU THỊNH VƯỢNG PHÁT TÀI - KHO CHỨA HÀNG
0313407812-003,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU THÁI THỊNH PHÁT-HM
0313525615-001,CHI NHÁNH 1 CÔNG TY TNHH BAO BÌ LƯƠNG THỰC TRUNG ĐIỆP
0315145432-001,CHI NHÁNH CÔNG TY TNHH SX BAO BÌ THÁI HOÀNG LONG
0316132820-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC NASAFE
0316621959-002,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ QUÂN VINH SG
0317061026-001,CHI NHÁNH VĂN PHÒNG HCM - CÔNG TY CỔ PHẦN ĐẦU TƯ KOINA INVESTMENT GROUP
0317113034-003,TRUNG TÂM BHO TƯ VẤN HỌC LÁI XE Ô TÔ BẰNG B1 B2 VÀ C BÌNH THẠNH - CHI NHÁNH CÔNG TY CỔ PHẦN BẠN HỮU
0317283068-001,CHI NHÁNH CÔNG TY CỔ PHẦN VP LAND HOLDINGS
3702924939-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT NỘI NGOẠI THẤT DTC
0315862447-001,CHI NHÁNH CÔNG TY TNHH TƯ VẤN DỊCH VỤ NHÀ ĐẤT GIA KHANG
3702264182-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BE VI CO
3703065077-001,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT GIÀY HỒNG THÁI � CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
0107886616-001,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY TNHH VIỆT ĐỨC CTC
0310206480-001,CHI NHÁNH 1 CÔNG TY TNHH VÀNG BẠC THƯƠNG MẠI DỊCH VỤ TUẤN KIỆT
0310245659-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TƯ VẤN VÀ ĐẦU TƯ NĂNG LƯỢNG SÀI GÒN
0310381122-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN CÔNG NGHỆ AMBEE
0311923554-001,CÔNG TY CỔ PHẦN GKIM VIỆT NAM - CHI NHÁNH HỒ CHÍ MINH
0312108880-001,KHÁCH SẠN NGUYÊN HƯƠNG-CHI NHÁNH CÔNG TY TNHH THE H&M
0312122451-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN HÓA NHỰA SÀI GÒN
0312151822-003,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH CÔNG TY TNHH DỊCH VỤ DU LỊCH VÀ VẬN TẢI HOÀI NGÂN
0312370687-002,CHI NHÁNH CÔNG TY TNHH YẾN NGUYỆT
0312620263-004,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN XÂY DỰNG NGHĨA TRANG LONG THÀNH
0317299621-001,CHI NHÁNH CÔNG TY TNHH LINK SMART
0317384027,CÔNG TY LUẬT TRÁCH NHIỆM HỮU HẠN BTD COUNSEL
0317183426-001,CHI NHÁNH BÌNH TÂN - CÔNG TY TNHH THỰC PHẨM PATIK
8454999852-001,HUỲNH THỊ THANH TRÚC
0304621672-007,CHI NHÁNH 7 - CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NGUYỄN HÙNG
0317380505,VI�N KHOA H�C H�NH CH�NH V� H�P T�C QU�C T�
0110022253-001,CHI NHÁNH TP. HỒ CHÍ MINH - CÔNG TY TNHH PLANDO VIỆT NAM
0107509921-001,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN NAM PHÚC
0317363066,HỢP TÁC XÃ DỊCH VỤ VẬN TẢI QUANG NHẬT
0312301838-040,CHI NHÁNH CAO THẮNG CÔNG TY TNHH BOBAPOP
8763515925,TRẦN THỊ MỘNG THU
0317374212,CÔNG TY LUẬT TNHH PHIẾN LÊ VÀ CỘNG SỰ
0317373586,VĂN PHÒNG ĐẠI DIỆN JUNG ASIA PTE LTD TẠI THÀNH PHỐ HỒ CHÍ MINH
0317373473,VĂN PHÒNG ĐẠI DIỆN GLOBAL SOURCING SERVICES PTY LTD TẠI THÀNH PHỐ HỒ CHÍ MINH
0317373466,"VĂN PHÒNG ĐẠI DIỆN FUJI TECHNOLOGY CO., LTD TẠI THÀNH PHỐ HỒ CHÍ MINH"
0317372751,CÔNG TY LUẬT TNHH MTV ĐÔNG HƯNG
0317372624,VĂN PHÒNG ĐẠI DIỆN ENVIRONMENTAL SCIENCE U.S. INC TẠI THÀNH PHỐ HỒ CHÍ MINH
0301494112-006,CHI NHÁNH HỢP TÁC XÃ THƯƠNG MẠI DỊCH VỤ NGUYỄN CƯ TRINH-CÀ PHÊ LEO
0312301838-042,CHI NHÁNH PHẠM HÙNG CÔNG TY TNHH BOBAPOP
8764628103,HỘ KINH DOANH ÔNG TRẺ (NGUYỄN ĐỨC ĐẠI DƯƠNG)
0313526513-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG PHAN GIA PHÁT
0317277427-001,CHI NHÁNH CÔNG TY TNHH ĐIỆN LẠNH ĐIỆN CÔNG NGHIỆP CƯỜNG THỊNH
0317280532-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI ĐÁ MIỀN NAM-KHO ĐÁ ĐÔNG SÀI GÒN
0317341979-001,CHI NHÁNH DOANH NGHIỆP TƯ NHÂN WASH HÀ ANH
2500657929-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN ILABSOFT
3702584859-006,CHI NHÁNH 6 CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ TAIYO
3702868314-001,CHI NHÁNH QUẬN 11 - CÔNG TY TNHH MỘT THÀNH VIÊN HUỲNH GIA KHIÊM
0109103243-001,CÔNG TY TNHH TOÀN CẦU DAS VIỆT NAM - CHI NHÁNH TP HỒ CHÍ MINH
0310634711-001,CHI NHÁNH XƯỞNG SẢN XUẤT - CÔNG TY CỔ PHẦN TƯƠNG SINH
0313830094-005,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CHẾ BIẾN THỰC PHẨM THIÊN ÂN
0314068834-003,CHI NHÁNH CÔNG TY TNHH NGOẠI NGỮ QUỐC TẾ XUYÊN Á
0317302930-001,CHI NHÁNH CÔNG TY TNHH MAY GIA CÔNG HÙNG HẬU
0303617377-012,CHI NHÁNH 12 - CÔNG TY TNHH THƯƠNG MẠI - XUẤT NHẬP KHẨU CƯỜNG NGA
0314529891-001,CHI NHÁNH CÔNG TY TNHH THANH PHÚC WINDOW
0315679184-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH CÔNG NGHỆ VFS
0315683945-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH DỊCH VỤ QUỐC TẾ HOÀNG KIM
